Partida n;46%;;;;Medida 1;Medida 2;Medida 3;Medida 4;;;
Partida 1; 57,06;;;Negro de fumo;57,06%;57,51%;56,35%;55,92%;;;
Partida 2; 57,51;;;Sangue;69,05%;73,24%;74,85%;70,04%;;;
Partida 3; 69,05;;;Chocolate com leite;65,20%;65,44%;62,71%;63,05%;;;Obs: é obrigatório a substituição do ponto por vírgula
Partida 4; 73,24;;;Vinho;71,37%;72,42%;72,03%;72,21%;;;exemplo: 78.00% por 78,00%
Partida 5; 65,20;;;Negro de fumo;55,99%;56,95%;54,95%;57,08%;;;
Partida 6; 65,44;;;Sangue;71,79%;73,04%;71,33%;70,96%;;;
Partida 7; 71,37;;;Chocolate com leite;61,32%;57,70%;58,84%;60,79%;;;
Partida 8; 72,42;;;Vinho;72,94%;71,10%;72,36%;72,68%;;;
Partida 9; 56,35;;;Negro de fumo;58,47%;57,66%;57,29%;59,74%;;;
Partida 10; 55,92;;;Sangue;72,01%;69,61%;67,26%;66,71%;;;
Partida 11; 74,85;;;Chocolate com leite;62,82%;64,78%;63,05%;65,87%;;;
Partida 12; 70,04;;;Vinho;73,08%;73,34%;72,46%;73,58%;;;
Partida 13; 62,71;;;Negro de fumo;53,11%;55,19%;56,18%;57,21%;;;
Partida 14; 63,05;;;Sangue;76,79%;69,88%;71,72%;75,74%;;;
Partida 15; 72,03;;;Chocolate com leite;61,48%;57,03%;56,66%;60,41%;;;
Partida 16; 72,21;;;Vinho;73,11%;72,37%;72,66%;72,26%;;;
Partida 17; 55,99;;;;;;;;;;
Partida 18; 56,95;;;;;;;;;;
Partida 19; 71,79;;;;;;;;;;
Partida 20; 73,04;;;;;;;;;;
Partida 21; 61,32;;;;;;;;;;
Partida 22; 57,70;;;;;;;;;;
Partida 23; 72,94;;;;;;;;;;
Partida 24; 71,10;;;;;;;;;;
Partida 25; 54,95;;;;;;;;;;
Partida 26; 57,08;;;;;;;;;;
Partida 27; 71,33;;;;;;;;;;
Partida 28; 70,96;;;;;;;;;;
Partida 29; 58,84;;;;;;;;;;
Partida 30; 60,79;;;;;;;;;;
Partida 31; 72,36;;;;;;;;;;
Partida 32; 72,68;;;;;;;;;;
Partida 33; 58,47;;;;;;;;;;
Partida 34; 57,66;;;;;;;;;;
Partida 35; 72,01;;;;;;;;;;
Partida 36; 69,61;;;;;;;;;;
Partida 37; 62,82;;;;;;;;;;
Partida 38; 64,78;;;;;;;;;;
Partida 39; 73,08;;;;;;;;;;
Partida 40; 73,34;;;;;;;;;;
Partida 41; 57,29;;;;;;;;;;
Partida 42; 59,74;;;;;;;;;;
Partida 43; 67,26;;;;;;;;;;
Partida 44; 66,71;;;;;;;;;;
Partida 45; 63,05;;;;;;;;;;
Partida 46; 65,87;;;;;;;;;;
Partida 47; 72,46;;;;;;;;;;
Partida 48; 73,58;;;;;;;;;;
Partida 49; 53,11;;;;;;;;;;
Partida 50; 55,19;;;;;;;;;;
Partida 51; 76,79;;;;;;;;;;
Partida 52; 69,88;;;;;;;;;;
Partida 53; 61,48;;;;;;;;;;
Partida 54; 57,03;;;;;;;;;;
Partida 55; 73,11;;;;;;;;;;
Partida 56; 72,37;;;;;;;;;;
Partida 57; 56,18;;;;;;;;;;
Partida 58; 57,21;;;;;;;;;;
Partida 59; 71,72;;;;;;;;;;
Partida 60; 75,74;;;;;;;;;;
Partida 61; 56,66;;;;;;;;;;
Partida 62; 60,41;;;;;;;;;;
Partida 63; 72,66;;;;;;;;;;
Partida 64; 72,26;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
