Partida n;46%;;;;Medida 1;Medida 2;Medida 3;Medida 4;;;
Partida 1;65,24;;;Negro de fumo;66,52%;65,82%;66,65%;65,99%;;;
Partida 2;65,68;;;Sangue;80,09%;81,35%;80,93%;80,93%;;;
Partida 3;81,06;;;Chocolate com leite;66,88%;67,10%;69,07%;67,68%;;;Obs: é obrigatório a substituição do ponto por vírgula
Partida 4;81,92;;;Vinho;80,06%;79,58%;80,38%;80,01%;;;exemplo: 78.00% por 78,00%
Partida 5;66,49;;;Negro de fumo;66,34%;65,41%;65,77%;66,43%;;;
Partida 6;67,63;;;Sangue;80,77%;80,90%;80,93%;80,48%;;;
Partida 7;77,4;;;Chocolate com leite;68,00%;67,34%;65,14%;70,02%;;;
Partida 8;77,67;;;Vinho;80,21%;79,55%;80,03%;79,93%;;;
Partida 9;64,56;;;Negro de fumo;65,93%;65,53%;64,36%;65,02%;;;
Partida 10;65,85;;;Sangue;80,78%;80,37%;80,23%;80,58%;;;
Partida 11;82,22;;;Chocolate com leite;66,72%;68,52%;63,91%;68,26%;;;
Partida 12;81,66;;;Vinho;80,12%;79,46%;80,13%;79,84%;;;
Partida 13;66,05;;;Negro de fumo;64,97%;65,05%;65,47%;64,80%;;;
Partida 14;68,21;;;Sangue;79,37%;79,50%;79,04%;78,21%;;;
Partida 15;78,19;;;Chocolate com leite;70,73%;69,34%;67,83%;68,84%;;;
Partida 16;78,29;;;Vinho;79,80%;79,44%;79,31%;79,50%;;;
Partida 17;65,15;;;Negro de fumo;66,25%;65,52%;64,82%;65,67%;;;
Partida 18;64,83;;;Sangue;79,37%;78,51%;79,60%;78,80%;;;
Partida 19;81,92;;;Chocolate com leite;68,20%;67,52%;67,88%;68,62%;;;
Partida 20;81,62;;;Vinho;80,07%;79,59%;80,07%;80,01%;;;
Partida 21;67,09;;;;;;;;;;
Partida 22;68,84;;;;;;;;;;
Partida 23;77,62;;;;;;;;;;
Partida 24;77,23;;;;;;;;;;
Partida 25;65,33;;;;;;;;;;
Partida 26;65,11;;;;;;;;;;
Partida 27;82,17;;;;;;;;;;
Partida 28;81,77;;;;;;;;;;
Partida 29;65,84;;;;;;;;;;
Partida 30;69,27;;;;;;;;;;
Partida 31;77,62;;;;;;;;;;
Partida 32;77,99;;;;;;;;;;
Partida 33;65,82;;;;;;;;;;
Partida 34;65,43;;;;;;;;;;
Partida 35;81,38;;;;;;;;;;
Partida 36;80,96;;;;;;;;;;
Partida 37;68,23;;;;;;;;;;
Partida 38;66,59;;;;;;;;;;
Partida 39;77,52;;;;;;;;;;
Partida 40;77,68;;;;;;;;;;
Partida 41;65,05;;;;;;;;;;
Partida 42;66,1;;;;;;;;;;
Partida 43;81,38;;;;;;;;;;
Partida 44;81,1;;;;;;;;;;
Partida 45;67,54;;;;;;;;;;
Partida 46;68,7;;;;;;;;;;
Partida 47;77,96;;;;;;;;;;
Partida 48;77,58;;;;;;;;;;
Partida 49;64,64;;;;;;;;;;
Partida 50;66,05;;;;;;;;;;
Partida 51;80,11;;;;;;;;;;
Partida 52;79,49;;;;;;;;;;
Partida 53;68,17;;;;;;;;;;
Partida 54;66,41;;;;;;;;;;
Partida 55;77,52;;;;;;;;;;
Partida 56;77,2;;;;;;;;;;
Partida 57;64,18;;;;;;;;;;
Partida 58;66,9;;;;;;;;;;
Partida 59;81,24;;;;;;;;;;
Partida 60;79,92;;;;;;;;;;
Partida 61;67,05;;;;;;;;;;
Partida 62;66,92;;;;;;;;;;
Partida 63;77,57;;;;;;;;;;
Partida 64;77,76;;;;;;;;;;
Partida 65;66,78;;;;;;;;;;
Partida 66;65,6;;;;;;;;;;
Partida 67;78,92;;;;;;;;;;
Partida 68;77,17;;;;;;;;;;
Partida 69;67,81;;;;;;;;;;
Partida 70;65,66;;;;;;;;;;
Partida 71;77,98;;;;;;;;;;
Partida 72;77,75;;;;;;;;;;
Partida 73;66,22;;;;;;;;;;
Partida 74;66,31;;;;;;;;;;
Partida 75;78,28;;;;;;;;;;
Partida 76;77,27;;;;;;;;;;
Partida 77;69,52;;;;;;;;;;
Partida 78;67,5;;;;;;;;;;
Partida 79;78,05;;;;;;;;;;
Partida 80;78,24;;;;;;;;;;
