23_02_06_1_ao_4.csv;;;;;Em amarelo s�o os pontos de aquisi��o de temperatura;;;;;;;;;;
44963,33958;;;;;Em verde s�o os pontos de aquisi��o de press�o;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0412""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44897,31762;20,9961;20,9938;21,5967;21,5705;21,856;22,0671;239,004;240,771;203,771;239,437;250,722;255;0;0;0
44897,31765;21,0062;20,9977;21,6012;21,5748;21,8586;22,0696;240,478;241,026;203,781;239,519;249,56;255;0;0;0
44897,31767;21,0055;20,9988;21,5984;21,5737;21,8637;22,078;240,553;240,571;203,776;240,647;251,554;255;0;0;0
44897,31769;20,999;20,9952;21,6012;21,575;21,8619;22,0721;238,867;240,606;203,788;239,032;246,785;255;0;0;0
44897,31771;21,0057;20,9915;21,5963;21,5735;21,864;22,0725;239,989;240,171;203,778;240,684;249,084;255;0;0;0
44897,31774;21,0039;20,9931;21,6032;21,5789;21,8633;22,0744;237,735;238,609;203,782;242,094;248,706;255;0;0;0
44897,31776;20,9983;20,9935;21,6012;21,571;21,8657;22,0791;242,395;240,097;203,769;239,656;251,261;255;0;0;0
44897,31778;21,0004;20,9963;21,6021;21,5681;21,864;22,0754;241,157;241,3;203,788;240,708;249,461;255;0;0;0
44897,3178;21,0038;21,0039;21,6038;21,5828;21,8633;22,0826;240,096;239,103;203,784;241,132;249,889;255;0;0;0
44897,31782;21,0073;20,9959;21,6045;21,5796;21,8677;22,0849;241,85;240,793;203,798;241,351;249,884;255;0;0;0
44897,31784;21,0031;20,9997;21,6039;21,584;21,8693;22,0905;237,416;241,41;203,8;241,016;249,746;255;0;0;0
44897,31786;21,005;21,0004;21,6095;21,5798;21,8681;22,0915;241,242;238,849;203,793;242,378;248,394;255;0;0;0
44897,31789;21,0083;21,0026;21,6051;21,5777;21,8672;22,0876;239,167;239,442;203,79;240,257;248,35;255;0;0;0
44897,31791;21,0109;21,0002;21,6086;21,5828;21,8693;22,0909;241,055;239,891;203,799;240,703;250,339;255;0;0;0
44897,31793;21,0151;20,9939;21,5914;21,566;21,8572;22,0775;241,117;240,487;203,783;241,884;250,726;255;0;0;0
44897,31795;21,0128;20,9887;21,5971;21,5691;21,8561;22,0764;239,391;240,153;203,795;240,404;247,944;255;0;0;0
44897,31797;21,0053;20,9895;21,595;21,569;21,8613;22,0848;240,592;237,992;203,791;237,941;249,53;255;0;0;0
44897,31799;21,0067;20,9883;21,5909;21,5752;21,8571;22,0884;240,766;240,518;203,803;240,601;251,095;255;0;0;0
44897,31801;21,0093;20,9913;21,5961;21,5639;21,8518;22,0863;238,588;240,577;203,789;240,455;249,047;255;0;0;0
44897,31804;21,0063;20,9913;21,5895;21,5764;21,8599;22,0847;240,446;238,281;203,788;239,424;251,178;255;0;0;0
44897,31806;20,9985;20,9903;21,59;21,5725;21,8547;22,0848;240,669;239,927;203,794;241,672;248,456;255;0;0;0
44897,31808;21,0042;20,9938;21,5969;21,5684;21,8603;22,0811;239,918;241,019;203,786;240,2;251,596;255;0;0;0
44897,3181;21,0032;20,9905;21,5864;21,5697;21,8542;22,0778;241,097;240,305;203,801;239,629;251,998;255;0;0;0
44897,31812;20,9952;20,987;21,5876;21,5633;21,851;22,0762;239,327;239,114;203,78;240,545;252,017;255;0;0;0
44897,31814;20,9963;20,9869;21,5883;21,5635;21,8533;22,0747;239,532;238,162;203,8;237,863;251,29;255;0;0;0
44897,31816;21,001;20,981;21,5843;21,5573;21,8463;22,08;238,026;240,212;203,783;242,084;250,549;255;0;0;0
44897,31819;21,0016;20,9845;21,5919;21,5654;21,8462;22,0798;240,524;240,143;203,794;240,696;251,27;255;0;0;0
44897,31821;21,0043;20,9852;21,5894;21,5656;21,8558;22,0791;241,511;240,033;203,801;242,843;250,059;255;0;0;0
44897,31823;21,0079;20,9956;21,597;21,5695;21,8578;22,0888;241,316;239,203;203,804;241,837;248,488;255;0;0;0
44897,31825;21,0098;20,9893;21,5939;21,5661;21,8522;22,09;239,602;241,726;203,801;241,551;249,011;255;0;0;0
44897,31827;21,0009;20,9952;21,5966;21,5735;21,8594;22,0901;240,856;239,299;203,787;241,898;250,511;255;0;0;0
44897,31829;21,008;20,9916;21,5926;21,5681;21,8557;22,0922;241,466;238,235;203,786;241,434;251,396;255;0;0;0
