23_02_06_1_ao_4.csv;;;;;Em amarelo s�o os pontos de aquisi��o de temperatura;;;;;;;;;;
06/02/2023 08:09;;;;;Em verde s�o os pontos de aquisi��o de press�o;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44901,39662;20,9868;20,9938;21,5967;21,5262;21,856;22,0671;-3,36755;-0,63588;203,771;241,117;250,722;255;0;0;0
44901,39664;20,9904;20,9977;21,6012;21,5247;21,8586;22,0696;-3,37387;-0,642426;203,781;240,043;249,56;255;0;0;0
44901,39666;20,9955;20,9988;21,5984;21,5227;21,8637;22,078;-3,36555;-0,655296;203,776;241,587;251,554;255;0;0;0
44901,39668;20,9906;20,9952;21,6012;21,5291;21,8619;22,0721;-3,37338;-0,645973;203,788;239,533;246,785;255;0;0;0
44901,3967;20,9955;20,9915;21,5963;21,5299;21,864;22,0725;-3,37403;-0,650879;203,778;242,043;249,084;255;0;0;0
44901,39672;20,9959;20,9931;21,6032;21,5282;21,8633;22,0744;-3,37218;-0,652672;203,782;242,633;248,706;255;0;0;0
44901,39674;20,9923;20,9935;21,6012;21,5275;21,8657;22,0791;-3,37774;-0,654587;203,769;239,847;251,261;255;0;0;0
44901,39676;20,9829;20,9963;21,6021;21,5291;21,864;22,0754;-3,37756;-0,649956;203,788;241,725;249,461;255;0;0;0
44901,39679;20,9952;21,0039;21,6038;21,5243;21,8633;22,0826;-3,37441;-0,658394;203,784;239,622;249,889;255;0;0;0
44901,39681;20,9965;20,9959;21,6045;21,5203;21,8677;22,0849;-3,37447;-0,663147;203,798;239,862;249,884;255;0;0;0
44901,39683;21,0006;20,9997;21,6039;21,5242;21,8693;22,0905;-3,36586;-0,662827;203,8;241,692;249,746;255;0;0;0
44901,39685;20,9925;21,0004;21,6095;21,5247;21,8681;22,0915;-3,38617;-0,654434;203,793;242,303;248,394;255;0;0;0
44901,39687;20,9883;21,0026;21,6051;21,5319;21,8672;22,0876;-3,3656;-0,648491;203,79;239,92;248,35;255;0;0;0
44901,39689;20,9932;21,0002;21,6086;21,5358;21,8693;22,0909;-3,3782;-0,642647;203,799;240,793;250,339;255;0;0;0
44901,39691;20,9893;20,9939;21,5914;21,5399;21,8572;22,0775;-3,39079;-0,648392;203,783;241,408;250,726;255;0;0;0
44901,39694;20,9873;20,9887;21,5971;21,5322;21,8561;22,0764;-3,36436;-0,646088;203,795;240,901;247,944;255;0;0;0
44901,39696;20,9833;20,9895;21,595;21,5364;21,8613;22,0848;-3,36936;-0,651367;203,791;213,219;249,53;255;0;0;0
44901,39698;20,9879;20,9883;21,5909;21,5366;21,8571;22,0884;-3,37482;-0,654762;203,803;208,239;251,095;255;0;0;0
44901,397;20,9851;20,9913;21,5961;21,5373;21,8518;22,0863;-3,36526;-0,647537;203,789;207,807;249,047;255;0;0;0
44901,39702;20,9809;20,9913;21,5895;21,529;21,8599;22,0847;-3,37702;-0,653725;203,788;207,582;251,178;255;0;0;0
44901,39704;20,986;20,9903;21,59;21,5317;21,8547;22,0848;-3,38055;-0,64991;203,794;206,475;248,456;255;0;0;0
44901,39706;20,9812;20,9938;21,5969;21,5343;21,8603;22,0811;-3,35847;-0,638702;203,786;207,072;251,596;255;0;0;0
44901,39709;20,9722;20,9905;21,5864;21,5345;21,8542;22,0778;-3,37367;-0,652718;203,801;207,053;251,998;255;0;0;0
44901,39711;20,9727;20,987;21,5876;21,535;21,851;22,0762;-3,37166;-0,644058;203,78;206,005;252,017;255;0;0;0
44901,39713;20,9716;20,9869;21,5883;21,5279;21,8533;22,0747;-3,36633;-0,641685;203,8;205,485;251,29;255;0;0;0
44901,39715;20,9764;20,981;21,5843;21,531;21,8463;22,08;-3,36973;-0,645454;203,783;207,263;250,549;255;0;0;0
44901,39717;20,9775;20,9845;21,5919;21,521;21,8462;22,0798;-3,38395;-0,645241;203,794;205,678;251,27;255;0;0;0
44901,39719;20,9781;20,9852;21,5894;21,5296;21,8558;22,0791;-3,36816;-0,640297;203,801;205,387;250,059;255;0;0;0
44901,39721;20,9865;20,9956;21,597;21,5237;21,8578;22,0888;-3,36617;-0,649521;203,804;205,542;248,488;255;0;0;0
44901,39724;20,9828;20,9893;21,5939;21,5276;21,8522;22,09;-3,36978;-0,642456;203,801;205,945;249,011;255;0;0;0
44901,39726;20,9837;20,9952;21,5966;21,5334;21,8594;22,0901;-3,35927;-0,639427;203,787;241,609;250,511;255;0;0;0
44901,39728;20,9807;20,9916;21,5926;21,5321;21,8557;22,0922;-3,35455;-0,639816;203,786;242,171;251,396;255;0;0;0
44901,3973;20,9856;20,9889;21,5908;21,5383;21,8548;22,0915;-3,35977;-0,647011;203,793;242,389;249,858;255;0;0;0
44901,39732;20,9865;20,9861;21,5905;21,5406;21,8564;22,0853;-3,34411;-0,633682;203,794;241,162;250,306;255;0;0;0
44901,39734;20,9753;20,9862;21,5893;21,5384;21,8543;22,0896;-3,36516;-0,649261;203,799;207,7;251,594;255;0;0;0
44901,39736;20,9706;20,9785;21,5863;21,5353;21,8509;22,0794;-3,36666;-0,649803;203,789;248,4464;250,78;255;0;0;0
44901,39739;20,9779;20,9936;21,5851;21,531;21,8539;22,0833;-3,35612;-0,641884;203,794;233,6211;252,648;255;0;0;0
44901,39741;20,9752;20,9846;21,5861;21,5261;21,8502;22,0801;-3,36442;-0,64418;203,802;237,2045;251,046;255;0;0;0
44901,39743;20,9783;20,9839;21,587;21,5315;21,8498;22,0877;-3,37731;-0,653313;203,804;253,74011;250,124;255;0;0;0
44901,39745;20,9821;20,9881;21,5848;21,525;21,8528;22,0806;-3,37238;-0,646004;203,799;273,63553;247,03;255;0;0;0
44901,39747;20,9682;20,9789;21,5769;21,5341;21,8427;22,08;-3,3689;-0,647026;203,803;203,63316;251,161;255;0;0;0
44901,39749;20,9774;20,9785;21,5899;21,5328;21,8569;22,0868;-3,36787;-0,647362;203,817;243,62554;248,415;255;0;0;0
44901,39751;20,9781;20,9839;21,5797;21,5208;21,8471;22,0871;-3,36187;-0,642334;203,79;211,9103;248,421;255;0;0;0
44901,39754;20,9666;20,9831;21,5827;21,527;21,8457;22,0856;-3,37399;-0,644424;203,793;208,125;249,767;255;0;0;0
44901,39756;20,9588;20,976;21,5731;21,5251;21,8432;22,0785;-3,38625;-0,655861;203,796;242,439;247,868;255;0;0;0
44901,39758;20,9665;20,9752;21,5722;21,5258;21,8378;22,0798;-3,35857;-0,638664;203,797;239,363;248,866;255;0;0;0
44901,3976;20,9662;20,9805;21,5845;21,528;21,8509;22,0852;-3,35987;-0,656853;203,806;240,6;249,76;255;0;0;0
44901,39762;20,9672;20,977;21,5752;21,5298;21,8458;22,0799;-3,36745;-0,647377;203,8;241,943;250,84;255;0;0;0
44901,39764;20,9688;20,9879;21,5877;21,5335;21,8457;22,0942;-3,37321;-0,643776;203,807;240,88;251,043;255;0;0;0
44901,39766;20,9752;20,9881;21,584;21,5374;21,8492;22,0915;-3,36681;-0,661995;203,797;241,761;250,83;255;0;0;0
44901,39769;20,9873;20,999;21,5977;21,533;21,8565;22,0945;-3,35693;-0,642143;203,795;242,087;249,508;255;0;0;0
44901,39771;20,9805;20,9886;21,5941;21,5373;21,8531;22,0964;-3,3789;-0,660225;203,797;242,539;250,822;255;0;0;0
44901,39773;20,9719;20,9888;21,5896;21,5327;21,8518;22,0941;-3,37194;-0,639816;203,795;241,046;252,402;255;0;0;0
44901,39775;20,9749;20,981;21,5811;21,535;21,8421;22,089;-3,37277;-0,648079;203,793;241,022;249,961;255;0;0;0
44901,39777;20,978;20,9866;21,5881;21,5301;21,8517;22,0909;-3,37645;-0,652115;203,793;240,845;249,888;255;0;0;0
44901,39779;20,9775;20,9828;21,5799;21,5344;21,8451;22,092;-3,39527;-0,646614;203,802;241,687;249,706;255;0;0;0
44901,39781;20,9659;20,9765;21,5784;21,5287;21,8401;22,0865;-3,38191;-0,644585;203,801;239,928;250,526;255;0;0;0
44901,39784;20,9659;20,9742;21,5747;21,527;21,8491;22,0888;-3,37256;-0,648773;203,788;240,946;247,679;255;0;0;0
44901,39786;20,9665;20,9779;21,5814;21,5275;21,8413;22,0844;-3,38016;-0,646912;203,792;240,675;248,231;255;0;0;0
44901,39788;20,9804;20,9853;21,5864;21,5324;21,8514;22,0886;-3,39035;-0,660248;203,778;238,555;249,227;255;0;0;0
44901,3979;20,9795;20,9816;21,5815;21,5412;21,8455;22,0889;-3,37014;-0,653961;203,791;240,442;250,538;255;0;0;0
