Valor 1 : Tensão efectiva T3 (0s) [Dispositivo-2]
Número;Tempo;Valor 1-avg[V];Valor 1-min[V];Valor 1-max[V];
1;06/12/22 10:37:25'867;218,708;;;
2;06/12/22 10:37:26'380;218,697;;;
3;06/12/22 10:37:26'860;218,640;;;
4;06/12/22 10:37:27'339;218,683;;;
5;06/12/22 10:37:27'818;218,692;;;
6;06/12/22 10:37:28'298;218,662;;;
7;06/12/22 10:37:28'778;218,693;;;
8;06/12/22 10:37:29'258;218,716;;;
9;06/12/22 10:37:29'738;218,669;;;
10;06/12/22 10:37:30'218;218,696;;;
11;06/12/22 10:37:30'699;218,702;;;
12;06/12/22 10:37:31'178;218,663;;;
13;06/12/22 10:37:31'658;218,718;;;
14;06/12/22 10:37:32'138;218,691;;;
15;06/12/22 10:37:32'618;218,714;;;
16;06/12/22 10:37:33'098;218,715;;;
17;06/12/22 10:37:33'577;218,670;;;
18;06/12/22 10:37:34'057;218,666;;;
19;06/12/22 10:37:34'537;218,677;;;
20;06/12/22 10:37:35'017;218,629;;;
21;06/12/22 10:37:35'497;218,709;;;
22;06/12/22 10:37:35'978;218,683;;;
23;06/12/22 10:37:36'457;218,680;;;
24;06/12/22 10:37:36'937;218,677;;;
25;06/12/22 10:37:37'417;218,655;;;
26;06/12/22 10:37:37'897;218,634;;;
27;06/12/22 10:37:38'377;218,701;;;
28;06/12/22 10:37:38'857;218,628;;;
29;06/12/22 10:37:39'337;218,662;;;
30;06/12/22 10:37:39'816;218,619;;;
31;06/12/22 10:37:40'296;218,647;;;
32;06/12/22 10:37:40'776;218,619;;;
33;06/12/22 10:37:41'256;218,632;;;
34;06/12/22 10:37:41'736;218,581;;;
35;06/12/22 10:37:42'216;218,624;;;
36;06/12/22 10:37:42'696;218,626;;;
37;06/12/22 10:37:43'176;218,617;;;
38;06/12/22 10:37:43'656;218,661;;;
39;06/12/22 10:37:44'136;218,624;;;
40;06/12/22 10:37:44'616;218,634;;;
41;06/12/22 10:37:45'096;218,651;;;
42;06/12/22 10:37:45'575;218,585;;;
43;06/12/22 10:37:46'055;218,619;;;
44;06/12/22 10:37:46'535;218,636;;;
45;06/12/22 10:37:47'015;218,625;;;
46;06/12/22 10:37:47'495;218,637;;;
47;06/12/22 10:37:47'974;218,621;;;
48;06/12/22 10:37:48'455;218,653;;;
49;06/12/22 10:37:48'935;218,610;;;
50;06/12/22 10:37:49'415;218,634;;;
