Valor 1 : Tensão efectiva Ponto 4 (0s) [Dispositivo-2]
Número;Tempo;Valor 1-avg[V];Valor 1-min[V];Valor 1-max[V];
1;03/02/23 10:51:44'120;125,578;;;
2;03/02/23 10:51:44'769;125,536;;;
3;03/02/23 10:51:45'571;125,556;;;
4;03/02/23 10:51:46'369;125,528;;;
5;03/02/23 10:51:47'008;125,566;;;
6;03/02/23 10:51:47'648;125,555;;;
7;03/02/23 10:51:48'448;125,550;;;
8;03/02/23 10:51:49'104;125,520;;;
9;03/02/23 10:51:49'744;125,541;;;
10;03/02/23 10:51:50'384;125,534;;;
11;03/02/23 10:51:51'024;125,533;;;
12;03/02/23 10:51:51'504;125,519;;;
13;03/02/23 10:51:52'145;125,528;;;
14;03/02/23 10:51:52'784;125,509;;;
15;03/02/23 10:51:53'424;125,527;;;
16;03/02/23 10:51:54'063;125,529;;;
17;03/02/23 10:51:54'543;125,507;;;
18;03/02/23 10:51:55'183;125,541;;;
19;03/02/23 10:51:55'823;125,533;;;
20;03/02/23 10:51:56'464;125,526;;;
21;03/02/23 10:51:56'947;125,509;;;
22;03/02/23 10:51:57'583;125,538;;;
23;03/02/23 10:51:58'223;125,534;;;
24;03/02/23 10:51:58'862;125,488;;;
25;03/02/23 10:51:59'342;125,523;;;
26;03/02/23 10:52:00'003;125,544;;;
27;03/02/23 10:52:00'709;125,499;;;
28;03/02/23 10:52:01'390;125,506;;;
29;03/02/23 10:52:02'030;125,523;;;
30;03/02/23 10:52:02'510;125,526;;;
31;03/02/23 10:52:03'150;125,537;;;
32;03/02/23 10:52:03'790;125,544;;;
33;03/02/23 10:52:04'431;125,513;;;
34;03/02/23 10:52:05'069;125,510;;;
35;03/02/23 10:52:05'741;125,512;;;
36;03/02/23 10:52:06'381;125,512;;;
37;03/02/23 10:52:07'021;125,513;;;
38;03/02/23 10:52:07'661;125,538;;;
39;03/02/23 10:52:08'301;125,523;;;
40;03/02/23 10:52:10'209;125,514;;;
41;03/02/23 10:52:11'020;125,539;;;
42;03/02/23 10:52:11'500;125,518;;;
43;03/02/23 10:52:12'140;125,523;;;
44;03/02/23 10:52:12'796;125,520;;;
45;03/02/23 10:52:13'437;125,496;;;
46;03/02/23 10:52:14'076;125,507;;;
47;03/02/23 10:52:14'557;125,518;;;
48;03/02/23 10:52:15'196;125,510;;;
49;03/02/23 10:52:15'836;125,519;;;
50;03/02/23 10:52:16'476;125,528;;;
51;03/02/23 10:52:16'971;125,503;;;
52;03/02/23 10:52:17'611;125,499;;;
53;03/02/23 10:52:18'252;125,536;;;
54;03/02/23 10:52:18'891;125,506;;;
55;03/02/23 10:52:19'371;125,527;;;
56;03/02/23 10:52:20'011;125,561;;;
57;03/02/23 10:52:20'651;125,547;;;
58;03/02/23 10:52:21'292;125,514;;;
59;03/02/23 10:52:21'932;125,529;;;
60;03/02/23 10:52:22'571;125,553;;;
61;03/02/23 10:52:23'210;125,548;;;
62;03/02/23 10:52:23'851;125,571;;;
63;03/02/23 10:52:24'491;125,537;;;
64;03/02/23 10:52:25'131;125,568;;;
65;03/02/23 10:52:25'610;125,558;;;
66;03/02/23 10:52:26'251;125,554;;;
67;03/02/23 10:52:26'891;125,563;;;
68;03/02/23 10:52:27'530;125,566;;;
69;03/02/23 10:52:28'010;125,570;;;
70;03/02/23 10:52:28'650;125,565;;;
71;03/02/23 10:52:29'289;125,528;;;
72;03/02/23 10:52:29'929;125,552;;;
73;03/02/23 10:52:30'569;125,566;;;
74;03/02/23 10:52:31'209;125,568;;;
75;03/02/23 10:52:31'849;125,546;;;
76;03/02/23 10:52:32'489;125,561;;;
77;03/02/23 10:52:33'129;125,539;;;
78;03/02/23 10:52:33'769;125,529;;;
79;03/02/23 10:52:34'249;125,534;;;
80;03/02/23 10:52:34'888;125,496;;;
81;03/02/23 10:52:35'528;125,506;;;
82;03/02/23 10:52:36'168;125,533;;;
83;03/02/23 10:52:36'808;125,505;;;
84;03/02/23 10:52:37'608;125,516;;;
85;03/02/23 10:52:38'264;125,513;;;
86;03/02/23 10:52:38'904;125,501;;;
87;03/02/23 10:52:39'560;125,493;;;
88;03/02/23 10:52:40'200;125,503;;;
89;03/02/23 10:52:40'680;125,496;;;
90;03/02/23 10:52:41'319;125,504;;;
91;03/02/23 10:52:41'959;125,515;;;
92;03/02/23 10:52:42'599;125,495;;;
93;03/02/23 10:52:43'239;125,518;;;
94;03/02/23 10:52:43'879;125,529;;;
95;03/02/23 10:52:44'519;125,508;;;
96;03/02/23 10:52:45'159;125,507;;;
97;03/02/23 10:52:45'799;125,534;;;
98;03/02/23 10:52:46'439;125,526;;;
99;03/02/23 10:52:46'918;125,541;;;
100;03/02/23 10:52:47'750;125,513;;;
101;03/02/23 10:52:48'407;125,505;;;
102;03/02/23 10:52:49'047;125,532;;;
103;03/02/23 10:52:49'703;125,535;;;
104;03/02/23 10:52:50'183;125,552;;;
105;03/02/23 10:52:50'822;125,546;;;
106;03/02/23 10:52:51'462;125,543;;;
107;03/02/23 10:52:52'102;125,544;;;
108;03/02/23 10:52:52'742;125,567;;;
109;03/02/23 10:52:53'541;125,527;;;
110;03/02/23 10:52:54'021;125,570;;;
111;03/02/23 10:52:54'677;125,545;;;
112;03/02/23 10:52:55'317;125,518;;;
113;03/02/23 10:52:55'797;125,532;;;
114;03/02/23 10:52:56'437;125,525;;;
115;03/02/23 10:52:57'078;125,511;;;
