Partida n;46%;;;;Medida 1;Medida 2;Medida 3;Medida 4;;;
Partida 1;61,12;;;Negro de fumo;56,80%;54,41%;54,87%;54,49%;;;
Partida 2;56,67;;;Sangue;70,38%;64,32%;61,75%;67,82%;;;
Partida 3;83,01;;;Chocolate com leite;57,78%;60,51%;58,50%;58,39%;;;Obs: é obrigatório a substituição do ponto por vírgula
Partida 4;82,46;;;Vinho;71,61%;71,41%;71,80%;72,05%;;;exemplo: 78.00% por 78,00%
Partida 5;59,23;;;Negro de fumo;56,37%;55,20%;55,42%;55,66%;;;
Partida 6;56,13;;;Sangue;72,38%;71,57%;73,68%;71,42%;;;
Partida 7;81,64;;;Chocolate com leite;60,31%;56,95%;57,37%;58,62%;;;
Partida 8;81,58;;;Vinho;71,67%;69,57%;70,57%;70,21%;;;
Partida 9;55,87;;;Negro de fumo;52,90%;55,54%;55,37%;54,19%;;;
Partida 10;57,44;;;Sangue;58,87%;71,67%;68,28%;60,65%;;;
Partida 11;82,76;;;Chocolate com leite;59,72%;59,64%;59,75%;62,73%;;;
Partida 12;82,77;;;Vinho;72,86%;72,31%;72,65%;71,91%;;;
Partida 13;56,99;;;Negro de fumo;58,83%;58,55%;56,13%;58,98%;;;
Partida 14;57,33;;;Sangue;76,11%;75,10%;72,95%;75,02%;;;
Partida 15;81,77;;;Chocolate com leite;63,00%;63,00%;61,25%;63,01%;;;
Partida 16;82,1;;;Vinho;71,07%;70,66%;71,60%;71,13%;;;
Partida 17;57,33;;;;;;;;;;
Partida 18;56,51;;;;;;;;;;
Partida 19;82,65;;;;;;;;;;
Partida 20;82,82;;;;;;;;;;
Partida 21;62,65;;;;;;;;;;
Partida 22;57,76;;;;;;;;;;
Partida 23;81,82;;;;;;;;;;
Partida 24;81,53;;;;;;;;;;
Partida 25;56,65;;;;;;;;;;
Partida 26;57,83;;;;;;;;;;
Partida 27;82,8;;;;;;;;;;
Partida 28;81,31;;;;;;;;;;
Partida 29;61,93;;;;;;;;;;
Partida 30;61,85;;;;;;;;;;
Partida 31;81,71;;;;;;;;;;
Partida 32;81,53;;;;;;;;;;
Partida 33;59,04;;;;;;;;;;
Partida 34;61,31;;;;;;;;;;
Partida 35;83,87;;;;;;;;;;
Partida 36;82,95;;;;;;;;;;
Partida 37;59,14;;;;;;;;;;
Partida 38;64,71;;;;;;;;;;
Partida 39;81,79;;;;;;;;;;
Partida 40;82,25;;;;;;;;;;
Partida 41;60,4;;;;;;;;;;
Partida 42;60,24;;;;;;;;;;
Partida 43;82,08;;;;;;;;;;
Partida 44;83,15;;;;;;;;;;
Partida 45;61,23;;;;;;;;;;
Partida 46;58,99;;;;;;;;;;
Partida 47;82,62;;;;;;;;;;
Partida 48;82,13;;;;;;;;;;
Partida 49;55,48;;;;;;;;;;
Partida 50;53,12;;;;;;;;;;
Partida 51;82,97;;;;;;;;;;
Partida 52;83,18;;;;;;;;;;
Partida 53;58,2;;;;;;;;;;
Partida 54;62,54;;;;;;;;;;
Partida 55;81,34;;;;;;;;;;
Partida 56;81,8;;;;;;;;;;
Partida 57;56,99;;;;;;;;;;
Partida 58;54,37;;;;;;;;;;
Partida 59;82,85;;;;;;;;;;
Partida 60;83,51;;;;;;;;;;
Partida 61;60,72;;;;;;;;;;
Partida 62;59,57;;;;;;;;;;
Partida 63;81,94;;;;;;;;;;
Partida 64;81,27;;;;;;;;;;
