22_12_13_1_ao_4.csv;;;;;;;;;;;;;;;
13/12/2022 08:04;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44908,33661;20,5128;20,2384;20,2475;19,9112;20,1118;19,951;240,678;241,721;239,465;-1,48949;248,07;255;0;0;0
44908,33663;20,5079;20,2389;20,2507;19,9135;20,1082;19,9422;242,104;243,862;241,481;-1,49628;248,451;255;0;0;0
44908,33665;20,5108;20,2389;20,253;19,9095;20,1095;19,9331;240,778;244,649;240,858;-1,49013;248,19;255;0;0;0
44908,33668;20,5062;20,2403;20,2516;19,9192;20,1116;19,9315;240,938;242,721;242,525;-1,49117;248,319;255;0;0;0
44908,3367;20,5007;20,2429;20,2494;19,9145;20,1078;19,9126;240,314;239,727;240,404;-1,48826;251,075;255;0;0;0
44908,33672;20,5039;20,2346;20,2512;19,9194;20,1056;19,9063;241,825;241,32;241,355;-1,48542;249,564;255;0;0;0
44908,33674;20,5032;20,2428;20,2503;19,9114;20,1113;19,904;240,91;243,25;241,914;-1,49033;251,206;255;0;0;0
44908,33676;20,5057;20,2379;20,2459;19,913;20,1054;19,8978;241,086;244,351;241,292;-1,49728;248,743;255;0;0;0
44908,33678;20,5047;20,2357;20,243;19,9089;20,1114;19,888;239,231;242,678;239,78;-1,4837;251,63;255;0;0;0
44908,3368;20,5023;20,2404;20,2417;19,9132;20,1105;19,8786;239,794;241,852;242,735;-1,48221;250,921;255;0;0;0
44908,33682;20,5054;20,2384;20,2429;19,9158;20,1089;19,8782;240,005;243,937;238,683;-1,48536;249,478;255;0;0;0
44908,33685;20,5016;20,2403;20,2505;19,9096;20,1117;19,8752;240,429;243,483;240,758;-1,49539;249,317;255;0;0;0
44908,33687;20,5013;20,2398;20,2458;19,9107;20,1095;19,8795;239,714;242,8;240,906;-1,48959;251,807;255;0;0;0
44908,33689;20,5041;20,2466;20,2445;19,9145;20,1128;19,879;242,351;242,547;239,454;-1,4691;249,821;255;0;0;0
44908,33691;20,5091;20,2497;20,2507;19,9168;20,1183;19,8847;241,971;243,789;240,728;-1,49707;248,966;255;0;0;0
44908,33693;20,5133;20,2518;20,2544;19,9204;20,119;19,8888;242,363;240,47;240,802;-1,47197;249,706;255;0;0;0
44908,33695;20,5159;20,2509;20,2533;19,9224;20,1155;19,8943;239,055;243,932;240,97;-1,48965;249,595;255;0;0;0
44908,33697;20,5135;20,2489;20,2557;19,9253;20,12;19,8877;239,563;239,481;239,865;-1,49223;249,545;255;0;0;0
44908,337;20,5136;20,2525;20,2527;19,9243;20,112;19,8979;241,074;243,037;239,861;-1,4832;249,526;255;0;0;0
44908,33702;20,5148;20,2484;20,2526;19,9213;20,1123;19,8997;241,608;243,179;238,684;-1,49112;251,103;255;0;0;0
44908,33704;20,5118;20,2514;20,2608;19,9228;20,1152;19,8963;241,31;241,661;240,695;-1,48104;248,647;255;0;0;0
44908,33706;20,5136;20,2526;20,2605;19,924;20,1206;19,9005;240,972;241,735;239,928;-1,48652;248,335;255;0;0;0
44908,33708;20,5168;20,2563;20,2548;19,9192;20,1202;19,9041;240,722;242,553;238,627;-1,48793;250,493;255;0;0;0
44908,3371;20,5163;20,2533;20,2593;19,9258;20,117;19,9019;242,326;244,813;240,351;-1,48763;252,542;255;0;0;0
44908,33712;20,5155;20,2542;20,2562;19,9277;20,1194;19,9008;241,583;243,481;242,044;-1,49163;248,724;255;0;0;0
44908,33715;20,5141;20,2539;20,2613;19,9217;20,1154;19,9014;239,146;241,447;242,764;-1,49187;249,708;255;0;0;0
44908,33717;20,5065;20,2517;20,2479;19,9192;20,1116;19,8963;241,858;243,91;240,444;-1,50217;247,809;255;0;0;0
44908,33719;20,511;20,2487;20,2534;19,9133;20,1137;19,8952;239,973;243,904;240,63;-1,48074;249,32;255;0;0;0
44908,33721;20,5073;20,2471;20,2568;19,9146;20,1099;19,897;240,262;242,369;238,114;-1,48991;248,776;255;0;0;0
44908,33723;20,5112;20,2524;20,2562;19,9123;20,1106;19,8956;241,658;243,026;241,69;-1,49107;249,998;255;0;0;0
44908,33725;20,5097;20,2478;20,2502;19,9184;20,115;19,8977;240,797;241,683;240,202;-1,48171;249,293;255;0;0;0
44908,33727;20,5056;20,2528;20,253;19,919;20,1143;19,8929;242,356;244,155;240,241;-1,48505;251,496;255;0;0;0
44908,3373;20,5035;20,249;20,252;19,9176;20,1051;19,8983;239,574;240,616;239,299;-1,49176;250,173;255;0;0;0
44908,33732;20,5111;20,2492;20,2552;19,9188;20,1122;19,8942;239,227;241,526;238,853;-1,50156;248,852;255;0;0;0
44908,33734;20,5095;20,2478;20,2552;19,9169;20,1148;19,8986;239,936;242,96;239,58;-1,48509;251,332;255;0;0;0
44908,33736;20,509;20,2524;20,2497;19,9182;20,1075;19,8951;241,389;240,971;239,494;-1,48847;248,96;255;0;0;0
44908,33738;20,5095;20,2445;20,2533;19,92;20,1075;19,8976;239,687;241,259;238,699;-1,49046;248,224;255;0;0;0
44908,3374;20,5117;20,2438;20,2567;19,9178;20,1089;19,9001;240,872;242,032;241,583;-1,49522;248,28;255;0;0;0
44908,33742;20,507;20,2495;20,2557;19,916;20,1142;19,9036;239,279;243,675;242,071;-1,49352;251,546;255;0;0;0
44908,33745;20,5126;20,2542;20,2585;19,9187;20,1085;19,8992;242,543;241,787;241,23;-1,49921;250,817;255;0;0;0
44908,33747;20,5101;20,2476;20,2512;19,9178;20,1107;19,9026;241,263;243,662;240,129;-1,4963;249,438;255;0;0;0
44908,33749;20,5011;20,2489;20,2502;19,9104;20,1124;19,9026;242,252;243,106;239,615;-1,4968;250,36;255;0;0;0
44908,33751;20,5053;20,2514;20,2467;19,9088;20,1089;19,9091;242,081;242,532;239,927;-1,50462;249,371;255;0;0;0
44908,33753;20,4998;20,2513;20,2524;19,9189;20,1113;19,9113;241,885;243,813;239,688;-1,50163;248,862;255;0;0;0
44908,33755;20,503;20,2459;20,2505;19,9088;20,1063;19,9124;242,58;242,402;241,419;-1,49064;249,456;255;0;0;0
44908,33757;20,5011;20,2455;20,2538;19,9117;20,1019;19,9182;241,299;240,819;241,549;-1,50056;249,979;255;0;0;0
44908,33759;20,5009;20,2494;20,2482;19,9136;20,108;19,9247;242,156;243,278;239,137;-1,49352;248,565;255;0;0;0
44908,33762;20,5023;20,2463;20,2494;19,9173;20,1036;19,924;242,23;242,234;240,868;-1,48543;248,42;255;0;0;0
44908,33764;20,5005;20,2498;20,2538;19,9155;20,1109;19,9297;239,701;242,685;242,307;-1,50001;251,133;255;0;0;0
44908,33766;20,4998;20,2458;20,2474;19,9173;20,1022;19,9401;240,937;242,449;240,22;-1,5001;250,541;255;0;0;0
44908,33768;20,5106;20,255;20,2568;19,9138;20,1162;19,9526;241,045;242,897;241,271;-1,49253;250,521;255;0;0;0
44908,3377;20,5114;20,2524;20,2605;19,9175;20,1116;19,9635;240,027;240,878;240,254;-1,49444;248,761;255;0;0;0
44908,33772;20,5071;20,2508;20,2565;19,914;20,105;19,9663;241,416;243,633;240,017;-1,49534;249,691;255;0;0;0
44908,33774;20,5086;20,2563;20,2574;19,9187;20,1082;19,9725;242,125;243,868;241,529;-1,49586;251,611;255;0;0;0
44908,33777;20,507;20,2532;20,2599;19,9204;20,1115;19,9867;240,961;242,076;241,494;-1,4861;247,392;255;0;0;0
44908,33779;20,5095;20,2506;20,2571;19,9206;20,1089;19,9952;239,82;244,282;241,04;-1,49207;250,603;255;0;0;0
44908,33781;20,5008;20,2483;20,2543;19,9144;20,1065;19,9973;240,226;241,32;240,609;-1,49622;250,928;255;0;0;0
44908,33783;20,5062;20,245;20,248;19,9145;20,0988;20,0041;242,559;242,47;240,179;-1,49088;249,863;255;0;0;0
44908,33785;20,5006;20,2452;20,2484;19,9075;20,107;20,0086;238,112;243,373;241,706;-1,49474;249,538;255;0;0;0
44908,33787;20,4999;20,2514;20,2493;19,912;20,1055;20,0164;241,618;244,631;240,94;-1,48436;251,776;255;0;0;0
44908,33789;20,4992;20,2482;20,2551;19,916;20,1028;20,0284;241,506;242,521;241,613;-1,48344;249,505;255;0;0;0
44908,33792;20,507;20,2483;20,2462;19,9105;20,1099;20,0358;238,337;244,517;241,221;-1,49032;249,313;255;0;0;0
44908,33794;20,5016;20,2507;20,249;19,916;20,1082;20,0401;241,944;244,443;239,834;-1,49418;248,329;255;0;0;0
44908,33796;20,505;20,2492;20,2523;19,9143;20,1082;20,0414;240,892;241,482;239,616;-1,49001;249,614;255;0;0;0
44908,33798;20,5027;20,2432;20,2474;19,9088;20,101;20,049;242,064;241,867;240,123;-1,49555;250,656;255;0;0;0
44908,338;20,5023;20,2434;20,2475;19,908;20,1074;20,0522;241,668;241,862;241,624;-1,49831;249,209;255;0;0;0
44908,33802;20,5021;20,2461;20,2519;19,9104;20,0995;20,066;242,19;243,388;240,726;-1,50119;248,529;255;0;0;0
44908,33804;20,5023;20,2437;20,2448;19,912;20,1073;20,099;242,641;240,999;242,262;-1,49796;250,756;255;0;0;0
