"22_12_15_1_ao_4.csv"
"15/12/2022 10:09:39"
""
16
"TIME"; "°C"; "°C"; "°C"; "°C"; "°C"; "°C"; "kPa"; "kPa"; "kPa"; "kPa"; "kPa"; "DIO"; "TOTAL"; "ALARM1"; "ALARM2"
"04TIME"; "0401"; "0402"; "0403"; "0404"; "0405"; "0406"; "0407"; "0408"; "0409"; "0410"; "0417"; "04DIO"; "04TOTAL"; "04ALARM1"; "04ALARM2"
44910,423399502; 19,5035; 20,5010; 20,3206; 20,4676; 20,5526; 21,4232; 240,135; 240,524; 238,366; -1,31777; 249,402; 255; 0; 0; 0
44910,423426655; 19,5010; 20,5061; 20,3129; 20,4567; 20,5569; 21,4197; 237,224; 240,837; 238,822; -1,32364; 249,020; 255; 0; 0; 0
44910,423448043; 19,5030; 20,5117; 20,3210; 20,4722; 20,5621; 21,4354; 240,246; 242,019; 240,438; -1,31936; 249,415; 255; 0; 0; 0
44910,423469432; 19,5049; 20,5101; 20,3193; 20,4657; 20,5637; 21,4373; 240,163; 242,700; 240,071; -1,32424; 249,350; 255; 0; 0; 0
44910,423490821; 19,5091; 20,5085; 20,3206; 20,4653; 20,5578; 21,4344; 239,722; 241,134; 238,142; -1,33025; 247,311; 255; 0; 0; 0
44910,423512210; 19,5080; 20,5096; 20,3198; 20,4666; 20,5635; 21,4379; 238,373; 240,580; 236,343; -1,32106; 246,262; 255; 0; 0; 0
44910,423533599; 19,5091; 20,5074; 20,3232; 20,4727; 20,5591; 21,4382; 239,244; 242,169; 239,328; -1,33014; 247,757; 255; 0; 0; 0
44910,423554976; 19,5010; 20,4988; 20,3223; 20,4653; 20,5661; 21,4322; 239,475; 241,786; 240,972; -1,31847; 249,190; 255; 0; 0; 0
44910,423576365; 19,5117; 20,5107; 20,3299; 20,4748; 20,5652; 21,4359; 238,512; 241,463; 237,840; -1,32964; 247,750; 255; 0; 0; 0
44910,423597754; 19,5128; 20,5044; 20,3282; 20,4709; 20,5695; 21,4361; 239,284; 241,178; 238,790; -1,32310; 247,260; 255; 0; 0; 0
44910,423619143; 19,5112; 20,5081; 20,3295; 20,4768; 20,5677; 21,4317; 239,236; 240,147; 239,980; -1,32883; 248,431; 255; 0; 0; 0
44910,423640532; 19,5145; 20,5046; 20,3263; 20,4691; 20,5723; 21,4265; 239,143; 241,001; 240,381; -1,33113; 247,425; 255; 0; 0; 0
44910,423661921; 19,5103; 20,5052; 20,3308; 20,4768; 20,5618; 21,4221; 239,875; 241,638; 239,375; -1,31876; 248,692; 255; 0; 0; 0
44910,423683310; 19,5097; 20,5048; 20,3238; 20,4748; 20,5689; 21,4224; 237,593; 240,985; 240,483; -1,32090; 248,101; 255; 0; 0; 0
44910,423704699; 19,5052; 20,4972; 20,3237; 20,4655; 20,5589; 21,4191; 237,930; 240,723; 240,728; -1,32914; 249,063; 255; 0; 0; 0
44910,423726087; 19,5019; 20,4945; 20,3208; 20,4663; 20,5649; 21,4205; 238,882; 241,513; 238,713; -1,32684; 246,593; 255; 0; 0; 0
44910,423747476; 19,4980; 20,4958; 20,3249; 20,4628; 20,5621; 21,4106; 240,085; 241,685; 240,139; -1,32413; 248,158; 255; 0; 0; 0
44910,423768865; 19,4993; 20,4913; 20,3205; 20,4655; 20,5583; 21,4122; 240,215; 240,522; 239,745; -1,32372; 248,115; 255; 0; 0; 0
44910,423790243; 19,5021; 20,4973; 20,3264; 20,4615; 20,5621; 21,4170; 238,468; 241,307; 239,619; -1,31551; 249,974; 255; 0; 0; 0
44910,423811631; 19,4991; 20,4887; 20,3222; 20,4708; 20,5629; 21,4178; 238,879; 241,098; 240,982; -1,31818; 248,097; 255; 0; 0; 0
44910,423833020; 19,5050; 20,4953; 20,3261; 20,4686; 20,5658; 21,4203; 240,211; 242,125; 239,927; -1,32162; 248,699; 255; 0; 0; 0
44910,423854409; 19,5059; 20,4907; 20,3301; 20,4706; 20,5591; 21,4206; 239,912; 242,542; 239,444; -1,32930; 248,223; 255; 0; 0; 0
44910,423875798; 19,4964; 20,4917; 20,3268; 20,4634; 20,5622; 21,4138; 239,692; 241,951; 238,451; -1,31622; 249,658; 255; 0; 0; 0
44910,423897187; 19,4966; 20,4886; 20,3235; 20,4601; 20,5603; 21,4182; 239,151; 241,885; 240,408; -1,30843; 249,869; 255; 0; 0; 0
44910,423918576; 19,4972; 20,4865; 20,3248; 20,4675; 20,5605; 21,4135; 239,316; 240,637; 239,812; -1,31192; 249,106; 255; 0; 0; 0
44910,423939965; 19,4933; 20,4911; 20,3251; 20,4668; 20,5560; 21,4172; 240,420; 239,597; 238,265; -1,32077; 250,707; 255; 0; 0; 0
44910,423961354; 19,5088; 20,4901; 20,3279; 20,4683; 20,5715; 21,4270; 237,083; 239,718; 237,235; -1,31947; 246,543; 255; 0; 0; 0
44910,423982743; 19,5010; 20,4876; 20,3319; 20,4738; 20,5710; 21,4213; 239,826; 239,514; 236,881; -1,31454; 249,863; 255; 0; 0; 0
44910,424004120; 19,5003; 20,4850; 20,3289; 20,4740; 20,5609; 21,4149; 240,895; 242,124; 237,869; -1,32333; 249,417; 255; 0; 0; 0
44910,424025509; 19,5022; 20,4958; 20,3331; 20,4761; 20,5713; 21,4245; 240,150; 239,945; 239,208; -1,31915; 245,025; 255; 0; 0; 0
44910,424046898; 19,5049; 20,4885; 20,3259; 20,4750; 20,5641; 21,4192; 240,100; 239,789; 236,993; -1,32387; 249,967; 255; 0; 0; 0
44910,424068287; 19,5042; 20,4914; 20,3304; 20,4650; 20,5694; 21,4242; 238,120; 241,410; 239,039; -1,31113; 246,528; 255; 0; 0; 0
44910,424089675; 19,4986; 20,4818; 20,3242; 20,4606; 20,5666; 21,4117; 239,190; 242,736; 237,274; -1,31619; 246,898; 255; 0; 0; 0
44910,424111064; 19,4938; 20,4864; 20,3217; 20,4647; 20,5645; 21,4117; 240,455; 241,897; 240,029; -1,31671; 248,224; 255; 0; 0; 0
44910,424132453; 19,4999; 20,4849; 20,3256; 20,4632; 20,5644; 21,4170; 239,395; 241,130; 238,668; -1,32539; 247,582; 255; 0; 0; 0
44910,424153842; 19,4946; 20,4830; 20,3240; 20,4708; 20,5610; 21,4209; 239,058; 242,075; 239,134; -1,32074; 247,513; 255; 0; 0; 0
44910,424175231; 19,4935; 20,4838; 20,3275; 20,4629; 20,5667; 21,4180; 237,222; 241,242; 240,032; -1,32705; 249,616; 255; 0; 0; 0
44910,424196620; 19,5021; 20,4833; 20,3312; 20,4652; 20,5664; 21,4168; 238,496; 241,332; 238,931; -1,32258; 248,245; 255; 0; 0; 0
44910,424217997; 19,4954; 20,4733; 20,3206; 20,4635; 20,5627; 21,4116; 239,225; 241,096; 237,621; -1,32664; 248,335; 255; 0; 0; 0
44910,424239386; 19,4951; 20,4699; 20,3202; 20,4641; 20,5626; 21,4038; 238,962; 241,867; 239,017; -1,33062; 250,221; 255; 0; 0; 0
44910,424260775; 19,4861; 20,4714; 20,3178; 20,4644; 20,5610; 21,4040; 238,731; 239,136; 238,934; -1,31812; 249,938; 255; 0; 0; 0
44910,424282164; 19,4875; 20,4728; 20,3209; 20,4626; 20,5543; 21,3997; 237,982; 240,702; 237,842; -1,33357; 246,447; 255; 0; 0; 0
44910,424303553; 19,4921; 20,4672; 20,3197; 20,4573; 20,5554; 21,3916; 241,005; 242,404; 239,140; -1,31836; 247,633; 255; 0; 0; 0
44910,424324942; 19,4849; 20,4706; 20,3250; 20,4577; 20,5593; 21,3969; 240,155; 242,120; 238,606; -1,32083; 249,126; 255; 0; 0; 0
44910,424346331; 19,4964; 20,4752; 20,3295; 20,4638; 20,5645; 21,4030; 237,793; 241,588; 240,732; -1,32124; 248,134; 255; 0; 0; 0
44910,424367719; 19,4967; 20,4753; 20,3254; 20,4646; 20,5604; 21,4037; 238,527; 240,499; 241,296; -1,33905; 247,070; 255; 0; 0; 0
44910,424389108; 19,4952; 20,4783; 20,3327; 20,4676; 20,5649; 21,4013; 238,862; 241,645; 239,810; -1,31205; 248,764; 255; 0; 0; 0
44910,424410497; 19,4974; 20,4720; 20,3324; 20,4684; 20,5734; 21,4016; 239,230; 240,178; 239,117; -1,32523; 249,752; 255; 0; 0; 0
